site,title,abstract,status,primary_area,keywords,rating,presentation,confidence,soundness,contribution,pdf_link,score_top_overall,llm_category,llm_confidence,llm_reasoning,local_top_overall
https://openreview.net/forum?id=8fViWZ0yZJ,Discovering alternative solutions beyond the simplicity bias in recurrent neural networks,"Training recurrent neural networks (RNNs) to perform neuroscience-style tasks has become a popular way to generate hypotheses for how neural circuits in the brain might perform computations. Recent work has demonstrated that task-trained RNNs possess a strong simplicity bias. In particular, this inductive bias often causes RNNs trained on the same task to collapse on effectively the same solution, typically comprised of fixed-point attractors or other low-dimensional dynamical motifs. While such solutions are readily interpretable, this collapse proves counterproductive for the sake of generating a set of genuinely unique hypotheses for how neural computations might be performed. Here we propose Iterative Neural Similarity Deflation (INSD), a simple method to break this inductive bias. By penalizing linear predictivity of neural activity produced by standard task-trained RNNs, we find an alternative class of solutions to classic neuroscience-style RNN tasks. These solutions appear distinct across a battery of analysis techniques, including representational similarity metrics, dynamical systems analysis, and the linear decodability of task-relevant variables. Moreover, these alternative solutions can sometimes achieve superior performance in difficult or out-of-distribution task regimes. Our findings underscore the importance of moving beyond the simplicity bias to uncover richer and more varied models of neural computation.",Poster,applications to neuroscience & cognitive science,"recurrent neural networks, computational neuroscience, dynamical systems","6, 8, 8","4, 3, 4","4, 4, 5","3, 3, 4","4, 3, 4",https://openreview.net/pdf?id=8fViWZ0yZJ,2.169070221702046,AI for Life Sciences,high,The research focuses on using recurrent neural networks to model neural circuits and generate hypotheses for brain computations. This aligns directly with the neuroscience and cognitive science scope of the AI for Life Sciences category.,2.4447439766856447
https://openreview.net/forum?id=oeoCgcYIyf,Coupled Transformer Autoencoder for Disentangling Multi-Region Neural Latent Dynamics,"Simultaneous recordings from thousands of neurons across multiple brain areas reveal rich mixtures of activity that are shared between regions and dynamics that are unique to each region. Existing alignment or multi-view methods neglect temporal structure, whereas dynamical latent-variable models capture temporal dependencies but are usually restricted to a single area, assume linear read-outs, or conflate shared and private signals. We introduce Coupled Transformer Autoencoder (CTAE)—a sequence model that addresses both (i) non-stationary, non-linear dynamics and (ii) separation of shared versus region-specific structure,
in a single framework. CTAE employs Transformer encoders and decoders to capture long-range neural dynamics, and explicitly partitions each region’s latent space into orthogonal shared and private subspaces. 
We demonstrate the effectiveness of CTAE on two high-density electrophysiology datasets of simultaneous recordings from multiple regions, one from motor cortical areas and the other from sensory areas. CTAE extracts meaningful representations that better decode behavior variables compared to existing approaches.",Poster,applications to neuroscience & cognitive science,"multi-region neural recordings, shared/private disentanglement, transformer sequence models, coupled autoencoders, latent variable dynamics, Neuropixels, neural dynamics, representation learning","6, 6, 8, 8","3, 4, 3, 4","4, 4, 4, 4","3, 4, 4, 4","3, 4, 4, 3",https://openreview.net/pdf?id=oeoCgcYIyf,2.1767886369348473,AI for Life Sciences,high,The paper focuses on analyzing neural recordings and brain dynamics using deep learning models. This aligns directly with the neuroscience and cognitive science focus of the AI for Life Sciences category.,2.154100719556784
https://openreview.net/forum?id=RDerF20JYT,La-Proteina: Atomistic Protein Generation via Partially Latent Flow Matching,"Recently, many generative models for de novo protein structure design have emerged. Yet, only few tackle the difficult task of directly generating fully atomistic structures jointly with the underlying amino acid sequence. This is challenging, for instance, because the model must reason over side chains that change in length during generation. We introduce La-Proteina for atomistic protein design based on a novel partially latent protein representation: coarse backbone structure is modeled explicitly, while sequence and atomistic details are captured via per-residue latent variables of fixed dimensionality, thereby effectively side-stepping challenges of explicit side-chain representations. Flow matching in this partially latent space then models the joint distribution over sequences and full-atom structures. La-Proteina achieves state-of-the-art performance on multiple generation benchmarks, including all-atom co-designability, diversity, and structural validity, as confirmed through detailed structural analyses and evaluations. Notably, La-Proteina also surpasses previous models in atomistic motif scaffolding performance, unlocking critical atomistic structure-conditioned protein design tasks. Moreover, La-Proteina is able to generate co-designable proteins of up to 800 residues, a regime where most baselines collapse and fail to produce valid samples, demonstrating La-Proteina's scalability and robustness.",Poster,"applications to physical sciences (physics, chemistry, biology, etc.)","Atomistic protein design, flow matching, latent diffusion, motif scaffolding","6, 8, 8, 10","3, 3, 3, 4","3, 4, 3, 4","3, 4, 4, 4","3, 3, 3, 4",https://openreview.net/pdf?id=RDerF20JYT,2.305438531806413,AI for Life Sciences,high,The paper introduces a generative model specifically for atomistic protein structure and sequence design. This aligns directly with molecular modeling and biology applications under AI for Life Sciences.,2.120068155451159
https://openreview.net/forum?id=3JPAkwSVc4,Quotient-Space Diffusion Model,"Diffusion-based generative models have reformed generative AI, and have enabled new capabilities in the science domain, for example, generating 3D structures of molecules.
Due to the intrinsic problem structure of certain tasks, there is often a symmetry in the system, which identifies objects that can be converted by a group action as equivalent, hence the target distribution is essentially defined on the quotient space with respect to the group.
In this work, we establish a formal framework for diffusion modeling on a general quotient space, and apply it to molecular structure generation which follows the special Euclidean group SE(3) symmetry.
The framework reduces the necessity of learning the component corresponding to the group action, hence simplifies learning difficulty over conventional group-equivariant diffusion models, and the sampler guarantees recovering the target distribution, while heuristic alignment strategies lack proper samplers.
The arguments are empirically validated on structure generation for small molecules and proteins, indicating that the principled quotient-space diffusion model provides a new  framework that outperforms previous symmetry treatments.",Oral,generative models,"Diffusion Models, Generative Modeling, Geometric Deep Learning, Structure Generation","6, 6, 8, 10","3, 3, 3, 4","2, 3, 3, 3","4, 3, 3, 4","3, 3, 4, 4",https://openreview.net/pdf?id=3JPAkwSVc4,1.9538724041996245,AI for Life Sciences,high,"The paper develops a generative framework specifically validated on molecular structure generation and proteins, which falls under molecular modeling. This aligns directly with the AI for Life Sciences category definition including protein folding and molecular modeling.",1.9441236593176636
https://openreview.net/forum?id=ctdnzPxDI3,Efficient Regression-based Training of Normalizing Flows for Boltzmann Generators,"Simulation-free training frameworks have been at the forefront of the generative modelling revolution in continuous spaces, leading to large-scale diffusion and flow matching models. However, such modern generative models suffer from expensive inference, inhibiting their use in numerous scientific applications like Boltzmann Generators (BGs) for molecular conformations that require fast likelihood
evaluation. In this paper, we revisit classical normalizing flows in the context of BGs that offer efficient sampling and likelihoods, but whose training via maximum likelihood is often unstable and computationally challenging. We propose Regression Training of Normalizing Flows (RegFlow), a novel and scalable regression-based training objective that bypasses the numerical instability and computational challenge of conventional maximum likelihood training in favour of a simple $\ell_2$-regression objective. Specifically, RegFlow maps prior samples under our flow to targets computed using optimal transport couplings or a pre-trained continuous normalizing flow (CNF). To enhance numerical stability, RegFlow employs effective regularization strategies such as a new forward-backward self-consistency loss that enjoys painless implementation. Empirically, we demonstrate that RegFlow unlocks a broader class of architectures that were previously intractable to train for BGs with maximum likelihood. We also show RegFlow exceeds the performance, computational cost, and stability of maximum likelihood training in equilibrium sampling in Cartesian coordinates of alanine dipeptide, tripeptide, and tetrapeptide, showcasing its potential in molecular systems.",Poster,"applications to physical sciences (physics, chemistry, biology, etc.)","Normalizing Flows, Generative Models, Optimal Transport, Flow Matching, AI for Science","6, 6, 8","4, 3, 4","4, 4, 4","4, 3, 4","3, 3, 4",https://openreview.net/pdf?id=ctdnzPxDI3,1.8452614092601776,AI for Life Sciences,high,"The paper introduces a training framework specifically designed to improve Boltzmann Generators for molecular conformation sampling. This directly addresses molecular modeling, which is explicitly included in the AI for Life Sciences category.",1.7982029938113313
https://openreview.net/forum?id=55e5f3GVFc,Protein Structure Tokenization via Geometric Byte Pair Encoding,"Protein structure is central to biological function, and enabling multimodal protein models requires joint reasoning over sequence, structure, and function. A key barrier is the lack of principled protein structure tokenizers (PSTs): existing approaches fix token size or rely on continuous vector codebooks, limiting interpretability, multi-scale control, and transfer across architectures. We introduce GeoBPE, a geometry-grounded PST that transforms continuous, noisy, multi-scale backbone conformations into discrete ``sentences'' of geometry while enforcing global constraints. Analogous to byte-pair encoding, GeoBPE generates a hierarchical vocabulary of geometric primitives by iteratively (i) clustering Geo-Pair occurrences with k-medoids to yield a resolution-controllable vocabulary; (ii) quantizing each Geo-Pair to its closest medoid prototype; and (iii) reducing drift through differentiable inverse kinematics that optimizes boundary glue angles under an $\mathrm{SE}(3)$ end-frame loss. GeoBPE offers compression ($>$10× reduction in bits-per-residue at similar distortion rate), data efficiency ($>$10× less training data), and generalization (maintains test/train distortion ratio of $1.0-1.1$). It is architecture-agnostic: (a) its hierarchical vocabulary provides a strong inductive bias for coarsening residue-level embeddings from large PLMs into motif- and protein-level representations, consistently outperforming leading PSTs across $12$ tasks and $24$ test splits; (b) paired with a transformer, GeoBPE supports unconditional backbone generation via language modeling; and (c) tokens align with CATH functional families and support expert-interpretable case studies, offering functional meaning absent in prior PSTs.",Poster,"applications to physical sciences (physics, chemistry, biology, etc.)","protein, geometry, structure, byte pair encoding, tokenizers, multi-scale protein structure, folds, backbones, motifs","6, 6, 8, 10","3, 1, 3, 2","3, 3, 3, 5","3, 3, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=55e5f3GVFc,1.6479573600930983,AI for Life Sciences,high,The paper introduces a novel tokenization method specifically designed for protein structures to enable multimodal protein modeling and generation. This work directly addresses challenges in molecular modeling and biological function representation.,1.7435156350296923
https://openreview.net/forum?id=Q1JpRZkR3S,Scalable Spatio-Temporal SE(3) Diffusion for Long-Horizon Protein Dynamics,"Molecular dynamics (MD) simulations remain the gold standard for studying protein dynamics, but their computational cost limits access to biologically relevant timescales. Recent generative models have shown promise in accelerating simulations, yet they struggle with long-horizon generation due to architectural constraints, error accumulation, and inadequate modeling of spatiotemporal dynamics. We present STAR-MD (Spatio-Temporal Autoregressive Rollout for Molecular Dynamics), a scalable SE(3)-equivariant diffusion model that generates physically plausible protein trajectories over microsecond timescales. Our key innovation is a causal diffusion transformer with joint spatiotemporal attention that efficiently captures complex space-time dependencies while avoiding the memory bottlenecks of existing methods. On the standard ATLAS benchmark, STAR-MD achieves state-of-the-art performance across all metrics--substantially improving conformational coverage, structural validity, and dynamic fidelity compared to previous methods. STAR-MD successfully extrapolates to generate stable microsecond-scale trajectories where baseline methods fail catastrophically, maintaining high structural quality throughout the extended rollout. Our comprehensive evaluation reveals severe limitations in current models for long-horizon generation, while demonstrating that STAR-MD's joint spatiotemporal modeling enables robust dynamics simulation at biologically relevant timescales, paving the way for accelerated exploration of protein function.",Poster,"applications to physical sciences (physics, chemistry, biology, etc.)","Proteins, Molecular dynamics, Generative modeling, Diffusion models, Autoregressive modeling, SE(3)-equivariant diffusion, Spatiotemporal modeling","6, 6, 8, 8","2, 3, 3, 3","4, 3, 3, 4","3, 3, 4, 4","3, 3, 4, 3",https://openreview.net/pdf?id=Q1JpRZkR3S,1.7332497458611662,AI for Life Sciences,high,The paper introduces a diffusion model specifically designed for simulating protein dynamics and molecular trajectories. This application directly targets computational biology and protein function exploration.,1.6665392336516232
https://openreview.net/forum?id=YhgBy6jTR8,Low-Pass Filtering Improves Behavioral Alignment of Vision Models,"Despite their impressive performance on computer vision benchmarks, Deep Neural Networks (DNNs) still fall short of adequately modeling human visual behavior, as measured by error consistency and shape bias. Recent work hypothesized that behavioral alignment can be drastically improved through generative - rather than discriminative - classifiers, with far-reaching implications for models of human vision. 

Here, we instead show that the increased alignment of generative models can be largely explained by a seemingly innocuous resizing operation in the generative model which effectively acts as a low-pass filter. In a series of controlled experiments, we show that removing high-frequency spatial information from discriminative models like CLIP drastically increases their behavioral alignment. Simply blurring images at test-time - rather than training on blurred images - achieves a new state-of-the-art score on the model-vs-human benchmark, halving the current alignment gap between DNNs and human observers. Furthermore, low-pass filters are likely optimal, which we demonstrate by directly optimizing filters for alignment. To contextualize the performance of optimal filters, we compute the frontier of all possible pareto-optimal solutions to the benchmark, which was formerly unknown.

We explain our findings by observing that the frequency spectrum of optimal Gaussian filters roughly matches the spectrum of band-pass filters implemented by the human visual system. We show that the contrast sensitivity function, describing the inverse of the contrast threshold required for humans to detect a sinusoidal grating as a function of spatiotemporal frequency, is approximated well by Gaussian filters of a specific width.",Poster,applications to neuroscience & cognitive science,"behavioral alignment,  cognitive science,  CLIP,  computer vision,  shape bias,  error consistency","6, 6, 8, 8","3, 3, 4, 4","4, 4, 3, 5","3, 2, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=YhgBy6jTR8,1.3933053980505195,AI for Life Sciences,high,"The paper focuses on aligning AI models with human visual behavior and biological visual systems, which falls under cognitive science and neuroscience. Although it involves test-time modifications, the primary contribution is scientific understanding of human vision rather than inference efficiency.",1.6302887775287498
https://openreview.net/forum?id=cSDXx8V6K9,Generating metamers of human scene understanding,"Human vision combines low-resolution “gist” information from the visual periphery with sparse but high-resolution information from fixated locations to construct a coherent understanding of a visual scene. In this paper, we introduce MetamerGen, a tool for generating scenes that are aligned with latent human scene representations. MetamerGen is a latent diffusion model that combines peripherally obtained scene gist information with information obtained from scene-viewing fixations to generate image metamers for what humans understand after viewing a scene. Generating images from both high and low resolution (i.e. “foveated”) inputs constitutes a novel image-to-image synthesis problem, which we tackle by introducing a dual-stream representation of the foveated scenes consisting of DINOv2 tokens that fuse detailed features from fixated areas with peripherally degraded features capturing scene context. To evaluate the perceptual alignment of MetamerGen generated images to latent human scene representations, we conducted a same-different behavioral experiment where participants were asked for a “same” or “different” response between the generated and the original image. With that, we identify scene generations that are indeed metamers for the latent scene representations formed by the viewers. MetamerGen is a powerful tool for understanding scene understanding. Our proof-of-concept analyses uncovered specific features at multiple levels of visual processing that contributed to human judgments. While it can generate metamers even conditioned on random fixations, we find that high-level semantic alignment most strongly predicts metamerism when the generated scenes are conditioned on viewers’ own fixated regions.",Oral,applications to neuroscience & cognitive science,"human scene understanding, generative modeling","6, 6, 8","3, 3, 3","3, 4, 4","3, 3, 4","3, 3, 4",https://openreview.net/pdf?id=cSDXx8V6K9,1.5452324590039306,AI for Life Sciences,high,The research focuses on modeling human visual perception and cognitive scene understanding using AI. This aligns with the cognitive science and neuroscience scope defined in the Life Sciences category.,1.6209941768669145
https://openreview.net/forum?id=qmCpJtFZra,Scaling Atomistic Protein Binder Design with Generative Pretraining and Test-Time Compute,"Protein interaction modeling is central to protein design, which has been transformed by machine learning with broad applications in drug discovery and beyond. In this landscape, structure-based de novo binder design is most often cast as either conditional generative modeling or sequence optimization via structure predictors (""hallucination""). We argue that this is a false dichotomy and propose Complexa, a novel fully atomistic binder generation method unifying both paradigms. We extend recent flow-based latent protein generation architecture and leverage the domain-domain interactions of monomeric computationally predicted protein structures to construct Teddymer, a new large-scale dataset of synthetic binder-target pairs for pretraining. Combined with high-quality experimental multimers, this enables training a strong base model. We then perform inference-time optimization with this generative prior, unifying the strengths of previously distinct generative and hallucination methods. Complexa sets a new state of the art in computational binder design benchmarks: it delivers markedly higher in-silico success rates than existing generative approaches, and our novel test-time optimization strategies greatly outperform previous hallucination methods under normalized compute budgets. We further demonstrate explicit interface hydrogen bond optimization, fold class-guided binder generation, and extensions to small molecule targets and enzyme design tasks, again surpassing prior methods. Code, models and new data will be publicly released.",Oral,"applications to physical sciences (physics, chemistry, biology, etc.)","binder design, protein design, flow matching, hallucination, inference-time scaling, generative modeling, diffusion models","4, 6, 8, 10","2, 4, 3, 4","3, 3, 4, 4","2, 3, 4, 4","2, 3, 4, 4",https://openreview.net/pdf?id=qmCpJtFZra,1.3299046688300458,AI for Life Sciences,high,"The paper focuses on protein binder design and molecular modeling, which aligns directly with the life sciences category. While test-time compute is utilized, it serves as a technique to improve biological design outcomes rather than being a general inference optimization contribution.",1.4909935132857164
