site,title,abstract,status,primary_area,keywords,rating,presentation,confidence,soundness,contribution,pdf_link,score_top_overall,llm_category,llm_confidence,llm_reasoning,local_top_overall
https://openreview.net/forum?id=Vsgq2ldr4K,Reasoning with Sampling: Your Base Model is Smarter Than You Think,"Frontier reasoning models have exhibited incredible capabilities across a wide array of disciplines, driven by posttraining large language models (LLMs) with reinforcement learning (RL). However, despite the widespread success of this paradigm, much of the literature has been devoted to disentangling truly novel behaviors that emerge during RL but are not present in the base models. In our work, we approach this question from a different angle, instead asking whether comparable reasoning capabilities can be elicited from base models at inference time by pure sampling, without any additional training. Inspired by Markov chain Monte Carlo (MCMC) techniques for sampling from sharpened distributions, we propose a simple iterative sampling algorithm leveraging the base models' own likelihoods. Over different base models, we show that our algorithm offers substantial boosts in reasoning that nearly match and even outperform those from RL on a wide variety of single-shot tasks, including MATH500, HumanEval, and GPQA. Moreover, our sampler avoids the collapse in diversity over multiple samples that is characteristic of RL-posttraining. Crucially, our method does not require training, curated datasets, or a verifier, suggesting broad applicability beyond easily verifiable domains.",Oral,"foundation or frontier models, including LLMs","LLMs, reasoning, MCMC, sampling, inference-time compute","6, 8, 8, 8","4, 3, 4, 3","4, 4, 3, 4","4, 4, 4, 4","4, 4, 4, 3",https://openreview.net/pdf?id=Vsgq2ldr4K,2.7819010050191193,Inference Optimisation,high,The paper proposes an iterative sampling algorithm to enhance reasoning capabilities at inference time without additional training. This aligns directly with inference-time adaptation and test-time compute scaling.,2.9272756349278115
https://openreview.net/forum?id=DM0Y0oL33T,Generative Universal Verifier as Multimodal Meta-Reasoner,"We introduce *Generative Universal Verifier*, a novel concept and plugin designed for next-generation multimodal reasoning in vision-language models and unified multimodal models, providing the fundamental capability of reflection and refinement on visual outcomes during the reasoning and generation process. This work makes three main contributions: (1) We build **ViVerBench**, a comprehensive benchmark spanning $16$ categories of critical tasks for evaluating visual outcomes in multimodal reasoning. Results show that existing VLMs consistently underperform across these tasks, underscoring a substantial gap from human-level capability in reliable visual verification. (2) We design two automated pipelines to construct large-scale visual verification data and train **OmniVerifier-7B**, the first omni-capable generative verifier trained for universal visual verification and achieves notable gains on ViVerBench(+$8.3$). Through training, we identify three atomic capabilities in visual verification and demonstrate how they generalize and interact synergistically. (3) We propose **OmniVerifier-TTS**, a sequential test-time scaling paradigm that leverages the universal verifier to bridge image generation and editing within unified models, enhancing the upper bound of generative ability through iterative fine-grained optimization. Beyond generation, we extend universal verifier to broader world-modeling interleaved reasoning scenarios. Empirically, OmniVerifier-TTS achieves improvements on T2I-ReasonBench(+$3.7$), and GenEval++(+$4.3$), outperforming existing parallel test-time scaling methods, such as Best-of-N. By endowing multimodal reasoning with reliable visual verification, OmniVerifier advances both reliable reflection during generation and scalable test-time refinement, marking a step toward more trustworthy and controllable next-generation reasoning systems.",Oral,"foundation or frontier models, including LLMs",Multimodal Large Language Models,"8, 8, 8","3, 3, 3","3, 4, 5","3, 3, 3","3, 4, 4",https://openreview.net/pdf?id=DM0Y0oL33T,2.3218334666444647,Inference Optimisation,high,"The paper introduces a sequential test-time scaling paradigm and verifier to refine multimodal reasoning during generation, explicitly outperforming methods like Best-of-N. This focus on inference-time adaptation and compute scaling aligns directly with the Inference Optimisation category.",2.8452842787758414
https://openreview.net/forum?id=vH7OAPZ2dR,GLASS Flows: Efficient Inference for Reward Alignment of Flow and Diffusion Models,"The performance of flow matching and diffusion models can be greatly improved at inference time using reward adaptation algorithms, yet efficiency remains a major limitation. While several algorithms were proposed, we demonstrate that a common bottleneck is the *sampling* method these algorithms rely on: many algorithms require to sample Markov transitions via SDE sampling, which is significantly less efficient and often less performant than ODE sampling. To remove this bottleneck, we introduce GLASS Flows, a new sampling paradigm that simulates a ''flow matching model within a flow matching model'' to sample Markov transitions. As we show in this work, this ''inner'' flow matching model can be retrieved from any pre-trained model without any re-training, effectively combining the efficiency of ODEs with the stochastic evolution of SDEs. On large-scale text-to-image models, we show that GLASS Flows eliminate the trade-off between stochastic evolution and efficiency. GLASS Flows improve state-of-the-art performance in text-to-image generation, making it a simple, drop-in solution for inference-time scaling of flow and diffusion models.",Oral,generative models,"Flow Matching,  Diffusion Models,  Reward Alignment,  Reward Adaptation,  Inference-time scaling,  Feynman-Kac Steering,  Markov transitions,  Sampling methods","6, 6, 8, 8","3, 3, 3, 3","5, 3, 4, 2","4, 3, 4, 4","3, 3, 4, 4",https://openreview.net/pdf?id=vH7OAPZ2dR,2.1217390981479856,Inference Optimisation,high,The paper introduces a new sampling paradigm to improve efficiency and performance during inference for diffusion models. This aligns directly with inference-time algorithms and compute scaling.,2.2161016224300405
https://openreview.net/forum?id=qOyF214xmg,Transducing Language Models,"Modern language models define distributions over strings, but their outputs are not always suited to downstream task.
For instance, a model generating byte-pair strings may not be suitable when word-level predictions are needed, and a DNA model may not fit applications requiring amino acids. In such cases, a deterministic string-to-string transformation can convert the model's output to the desired form. This is a familiar pattern in probability theory: applying a function $f$ to a random variable $X\sim p$ yields a transformed random variable $f(X)$ with an induced distribution. While such transformations are occasionally used in language modeling, they are not treated as yielding new, fully functional language models. We formalize this perspective and introduce a general framework for language models derived from deterministic string-to-string transformations. Focusing on transformations representable as finite-state transducers---a commonly used state-machine abstraction for efficient string-to-string mappings---we develop algorithms that compose a language model with an FST to *marginalize* over source strings mapping to a given target. This allows us to propagate probabilities through the transducer without altering model parameters and to *condition* on transformed outputs. We present an exact algorithm, an efficient approximation, and a theoretical analysis. We conduct experiments in three domains: converting token-level language models to character-level language models, token-level language models to word-level models, and deriving amino-acid models from DNA models. This demonstrates inference-time adaptation of pretrained language models to match application-specific output requirements.",Poster,"foundation or frontier models, including LLMs","language models, tokenization, automata, transducers","6, 8, 8, 10","3, 3, 3, 4","4, 3, 3, 4","2, 4, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=qOyF214xmg,1.9104446452089041,Inference Optimisation,high,The paper introduces a framework for adapting pretrained language models at inference time using finite-state transducers to alter output spaces without retraining. This aligns directly with inference-time adaptation and algorithms rather than specific domain applications like life sciences.,2.1667635255902495
https://openreview.net/forum?id=98IxaUQtMY,SERE: Similarity-based Expert Re-routing for Efficient Batch Decoding in MoE Models,"Mixture-of-Experts (MoE) architectures employ sparse activation to deliver faster training and inference with higher accuracy than dense LLMs. However, in production serving, MoE models require batch inference to optimize hardware efficiency, which may cause excessive expert activation and thus slow the memory-bound decoding stage. To address the fundamental tension between batch decoding and expert sparsity, we present **SERE**, a **S**imilarity-based **E**xpert **R**e-routing method for **E**fficient batch decoding in MoE models. SERE dynamically reduces the number of active experts in an input-aware manner by re-routing tokens from secondary experts to their most similar primary counterparts. It also leverages similarity patterns to identify and preserve critical experts, thereby preventing capability loss. Notably, SERE avoids static expert pruning or merging, instead enabling dynamic expert skipping based on batch-level expert redundancy. Additionally, we provide an efficient custom CUDA kernel for SERE, enabling plug-and-play use in vLLM with only a single-line code change. Extensive experiments on various complex reasoning benchmarks demonstrate that SERE achieves up to $2.0\times$ speedup with minimal quality loss, providing a practical solution for cost-efficient and latency-sensitive large-scale MoE deployment.",Poster,"infrastructure, software libraries, hardware, systems, etc.","MoE Model, Inference Acceleration, Batch Decoding, Expert Re-routing","6, 6, 8","4, 3, 3","4, 4, 4","4, 3, 4","4, 3, 3",https://openreview.net/pdf?id=98IxaUQtMY,1.8452614092601776,Inference Optimisation,high,The paper introduces an algorithmic method to optimize batch decoding efficiency for Mixture-of-Experts models during inference. This aligns with inference-time adaptation and compute efficiency rather than general training infrastructure.,1.9298083949774436
https://openreview.net/forum?id=3Z3Is6hnOT,Fast-dLLM: Training-free Acceleration of Diffusion LLM by Enabling KV Cache and Parallel Decoding,"Diffusion-based large language models (Diffusion LLMs) have shown promise for non-autoregressive text generation. However, the practical inference speed of open-sourced Diffusion LLMs often lags behind autoregressive models due to the lack of Key-Value (KV) Cache and quality degradation when decoding multiple tokens simultaneously. To bridge this gap, we introduce Fast-dLLM, a method that incorporates a novel block-wise approximate KV Cache mechanism tailored for bidirectional diffusion models, enabling cache reuse with negligible performance drop. Additionally, we identify the root cause of generation quality degradation in parallel decoding as the disruption of token dependencies under the conditional independence assumption. To address this, Fast-dLLM also proposes a confidence-aware parallel decoding strategy that selectively decodes tokens exceeding a confidence threshold, mitigating dependency violations and maintaining generation quality. Experimental results on LLaDA and Dream models across multiple LLM benchmarks demonstrate up to 27.6× throughput improvement with minimal accuracy loss, closing the performance gap with autoregressive models and paving the way for practical deployment of Diffusion LLMs.",Poster,"foundation or frontier models, including LLMs","Diffusion LLM, efficiency","6, 6, 8, 8","4, 3, 3, 3","4, 4, 3, 5","4, 3, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=3Z3Is6hnOT,1.7882992846480281,Inference Optimisation,high,The paper focuses on accelerating Diffusion LLM inference through KV caching and parallel decoding strategies. This aligns directly with inference optimization techniques rather than infrastructure or agent-based workflows.,1.9200493451783993
https://openreview.net/forum?id=h06l9w1clt,Locality-aware Parallel Decoding for Efficient Autoregressive Image Generation,"We present Locality-aware Parallel Decoding (LPD) to accelerate autoregressive image generation. Traditional autoregressive image generation relies on next-patch prediction, a memory-bound process that leads to high latency. Existing works have tried to parallelize next-patch prediction by shifting to multi-patch prediction to accelerate the process, but only achieved limited parallelization. To achieve high parallelization while maintaining generation quality, we introduce two key techniques: (1) Flexible Parallelized Autoregressive Modeling, a novel architecture that enables arbitrary generation ordering and degrees of parallelization. It uses learnable position query tokens to guide generation at target positions while ensuring mutual visibility among concurrently generated tokens for consistent parallel decoding. (2) Locality-aware Generation Ordering, a novel schedule that forms groups to minimize intra-group dependencies and maximize contextual support, enhancing generation quality. With these designs, we reduce the generation steps from 256 to 20 (256×256 res.) and 1024 to 48 (512×512 res.) without compromising quality on the ImageNet class-conditional generation, and achieving at least 3.4× lower latency than previous parallelized autoregressive models.",Oral,generative models,"Efficient Autoregressive Image Generation, Parallel Decoding","6, 6, 8, 8","2, 3, 3, 3","4, 5, 3, 4","3, 3, 4, 3","3, 3, 4, 3",https://openreview.net/pdf?id=h06l9w1clt,1.5908023413492738,Inference Optimisation,high,The paper introduces a parallel decoding algorithm specifically designed to reduce latency and generation steps during inference. This focus on efficiency and test-time computation aligns directly with inference optimization rather than general media generation.,1.835076358046332
https://openreview.net/forum?id=DsS3xRPSs5,Test-Time Alignment for Large Language Models via Textual Model Predictive Control,"Aligning Large Language Models (LLMs) with human preferences through finetuning is resource-intensive, motivating lightweight alternatives at test time. We address test-time alignment through the lens of sequential decision making, a perspective that reveals two fundamental challenges. When actions are defined at the token level, as in guided decoding, alignment suffers from the curse of horizon. Conversely, when actions are at the response level, as in traditional iterative refinement, the curse of dimensionality emerges. To resolve this trade-off, we draw inspiration from Model Predictive Control (MPC) in control theory to propose Textual Model Predictive Control (TMPC), a novel predictive planning framework adapted for aligning LLMs at inference time. A key limitation of standard MPC is its reliance on predefined, hard segment boundaries, which are often absent in text generation. TMPC overcomes this by introducing two principles inspired by hierarchical reinforcement learning: (1) Hindsight Subgoal Identification, where TMPC analyzes generation subgoals to retrospectively identify high-reward intermediate outputs as subgoals. This allows the framework to discover meaningful, task-specific planning steps (e.g., a sentence in machine translation or a bug fix in code generation.). (2) Subgoal-Conditioned Re-Generation, where these identified subgoals are used to guide subsequent planning iterations. By conditioning on these proven, high-quality subgoals, TMPC ensures stable improvement by building upon previously validated successes. TMPC is evaluated on three tasks with distinct segmentation properties: discourse-level translation, long-form response generation, and program synthesis. The results demonstrate that TMPC consistently improves performance, highlighting the generality.",Poster,"foundation or frontier models, including LLMs","Test-time preference alignment, Large Language Models, Machine translation","6, 6, 8, 8","3, 2, 3, 3","3, 3, 4, 3","3, 3, 4, 4","3, 3, 3, 4",https://openreview.net/pdf?id=DsS3xRPSs5,1.7057249764677354,Inference Optimisation,high,The paper introduces a test-time alignment framework for LLMs using control theory principles to improve inference outputs without finetuning. This directly aligns with inference optimisation through test-time adaptation and compute scaling algorithms.,1.7542405714872018
https://openreview.net/forum?id=P0GOk5wslg,Speculative Actions: A Lossless Framework for Faster AI Agents,"AI agents have attracted growing interest across industry and academia, but in practice their execution can be slow. For example, letting two state-of-the-art agents play a game of chess may take hours. A key bottleneck is that agent behavior unfolds sequentially: each action requires an API call, and these calls can be time-consuming. Inspired by speculative execution in microprocessors and speculative decoding in LLM inference, we propose speculative actions—a lossless framework that predicts likely actions using faster models, enabling multiple API calls to be executed in parallel. We evaluate this framework across four agentic environments: gaming, e-commerce, web search, and operating systems. In all cases, speculative actions yield substantial acceleration, with potential speedups of up to 30%. Moreover, performance can be further improved through stronger guessing models and top-K action prediction, opening a promising path toward real world, efficient deployment of AI agents.",Oral,"infrastructure, software libraries, hardware, systems, etc.","AI Agents, Speculative Decoding, Parallel Execution, Agentic Serving, Agentic Simulation","6, 6, 8, 10","3, 2, 3, 4","3, 3, 2, 3","3, 2, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=P0GOk5wslg,1.367886108614051,Inference Optimisation,high,"The paper introduces a framework to accelerate AI agent execution during inference by parallelizing API calls through action prediction, analogous to speculative decoding. This aligns with inference-time adaptation and test-time compute efficiency rather than specific software engineering tasks.",1.6575639966414635
https://openreview.net/forum?id=he8kYNcoMA,ST-SimDiff: Balancing Spatiotemporal Similarity and Difference for Efficient Video Understanding with MLLMs,"Multimodal Large Language Models (MLLMs) face significant computational overhead when processing long videos due to the massive number of visual tokens required. To improve efficiency, existing methods primarily reduce redundancy by pruning or merging tokens based on importance or similarity. However, these approaches largely overlook a critical dimension of video content, i.e., changes and turning points, and they lack a collaborative model for spatio-temporal relationships.
To address this, we propose a new perspective: similarity is for identifying redundancy, while difference is for capturing key events. Based on this, we designed a training-free framework named ST-SimDiff. We first construct a spatio-temporal graph from the visual tokens to uniformly model their complex associations. Subsequently, we employ a parallel dual-selection strategy: 1) similarity-based selection uses community detection to retain representative tokens, compressing static information; 2) temporal difference-based selection precisely locates content-changing points to preserve tokens that capture key dynamic shifts. This allows it to preserve both static and dynamic content with a minimal number of tokens. Extensive experiments show our method significantly outperforms state-of-the-art approaches while substantially reducing computational costs.
Our code is available in [https://anonymous.4open.science/r/ST-SimDiff-7225](https://anonymous.4open.science/r/ST-SimDiff-7225).",Poster,"applications to computer vision, audio, language, and other modalities","Video Understanding, Visual Token Reduction, Multimodal Large Language Models","6, 6, 6, 8","3, 3, 4, 3","5, 3, 4, 4","3, 3, 4, 3","3, 3, 4, 3",https://openreview.net/pdf?id=he8kYNcoMA,1.3912773780428367,Inference Optimisation,high,The paper proposes a training-free token selection framework to reduce computational overhead during video processing in MLLMs. This aligns with inference optimization as it focuses on algorithmic efficiency and compute reduction at test time.,1.607916790180157
