site,title,abstract,status,primary_area,keywords,rating,presentation,confidence,soundness,contribution,pdf_link,score_top_overall,llm_category,llm_confidence,llm_reasoning,local_top_overall
https://openreview.net/forum?id=N4BB09TXad,JanusCoder: Towards a Foundational Visual-Programmatic Interface for Code Intelligence,"The scope of neural code intelligence is rapidly expanding beyond text-based source code to encompass the rich visual outputs that programs generate. This visual dimension is critical for advanced applications like flexible content generation and precise, program-driven editing of visualizations. However, progress has been impeded by the scarcity of high-quality multimodal code data, a bottleneck stemming from challenges in synthesis and quality assessment. To address these challenges, we make contributions from both a data and modeling perspective. We first introduce a complete synthesis toolkit that leverages reciprocal synergies between data modalities to efficiently produce a large-scale, high-quality corpus spanning from standard charts to complex interactive web UIs and code-driven animations. Leveraging this toolkit, we construct JanusCode-800K, the largest multimodal code corpus to date. This powers the training of our models, JanusCoder and JanusCoderV, which establish a visual-programmatic interface for generating code from textual instructions, visual inputs, or a combination of both. Our unified model is a departure from existing approaches that build specialized models for isolated tasks. Extensive experiments on both text-centric and vision-centric coding tasks demonstrate the superior performance of the JanusCoder series, with our 7B to 14B scale models approaching or even exceeding the performance of commercial models. Furthermore, extensive analysis provides key insights into harmonizing programmatic logic with its visual expression. Our code, benchmark, and checkpoints will be made publicly available.",Poster,"applications to computer vision, audio, language, and other modalities","Multimodal LLM, Data Synthesis, Code Generation, Data Visualization","6, 6, 8","3, 3, 4","4, 5, 5","3, 3, 4","3, 3, 4",https://openreview.net/pdf?id=N4BB09TXad,1.6553315365776546,SWE Agents,high,"The primary contribution is a model and dataset for multimodal code generation, which falls under the domain of AI writing and understanding code. This aligns best with the SWE Agents category as it is the only option specifically covering software engineering and code intelligence tasks.",2.075679213854131
https://openreview.net/forum?id=M4RKeHIAxw,CoDA: Agentic Systems for Collaborative Data Visualization,"Automating data visualization from natural language is crucial for data science, yet current systems struggle with complex datasets containing multiple files and iterative refinement. Existing approaches, including simple single- or multi-agent systems, often oversimplify the task, focusing on initial query parsing while failing to robustly manage data complexity, code errors, or final visualization quality. In
this paper, we reframe this challenge as a collaborative multi-agent problem. We introduce CoDA, a multi-agent system that employs specialized LLM agents for metadata analysis, task planning, code generation, and iterative reflection. We formalize this pipeline, demonstrating how metadata-focused analysis bypasses token limits and quality-driven refinement ensures robustness. Extensive evaluations show CoDA achieves substantial gains in the overall score, outperforming competitive baselines by up to 41.5%. This work demonstrates that the future of visualization automation lies not in isolated code generation but in integrated, collaborative agentic workflows.",Poster,"foundation or frontier models, including LLMs","LLM, multi-agent system, visualization","6, 8, 8","4, 4, 3","3, 4, 4","3, 4, 3","3, 3, 3",https://openreview.net/pdf?id=M4RKeHIAxw,1.5863577460180576,SWE Agents,high,The paper presents a multi-agent system specifically designed for code generation and error refinement to automate data visualization tasks. This aligns with the SWE Agents category as the core contribution involves agentic workflows that write and debug code.,1.676572292566908
https://openreview.net/forum?id=tYppHuGhxJ,Kimi-Dev: Agentless Training as Skill Prior for SWE-agents,"Large Language Models (LLMs) are increasingly applied to software engineering (SWE), with SWE-bench as a key benchmark. Solutions are split into SWE-Agent frameworks with multi-turn interactions and workflow-based Agentless methods with single-turn verifiable steps. We argue these paradigms are not mutually exclusive: reasoning-intensive Agentless training induces skill priors, including localization, code edit, and self-reflection that enable efficient and effective SWE-Agent adaptation. In this work, we first curate the Agentless training recipe and present Kimi-Dev, an open-source SWE LLM achieving 60.4\% on SWE-bench Verified, the best among workflow approaches. With additional SFT adaptation on 5k publicly-available trajectories, Kimi-Dev powers SWE-Agents to 48.6\% pass@1, on par with that of Claude 3.5 Sonnet (241022 version). These results show that structured skill priors from Agentless training can bridge workflow and agentic frameworks for transferable coding agents.",Poster,"foundation or frontier models, including LLMs","coder LLM, Agentless, SWE-Agent, Reinforcement Learning","6, 6, 8, 8","3, 3, 3, 3","4, 4, 5, 4","3, 3, 3, 3","2, 2, 4, 3",https://openreview.net/pdf?id=tYppHuGhxJ,1.0388453494678211,SWE Agents,high,The core contribution is improving software engineering agents via a specific training prior evaluated on SWE-bench. This falls squarely under the SWE Agents category focused on coding agents and repository-level code generation.,1.2312176410047408
https://openreview.net/forum?id=SAl337ZX5d,RefineStat: Efficient Exploration for Probabilistic Program Synthesis,"Probabilistic programming offers a powerful framework for modeling uncertainty, yet statistical model discovery in this domain entails navigating an immense search space under strict domain‐specific constraints. When small language models are tasked with generating probabilistic programs, they frequently produce outputs that suffer from both syntactic, and semantic errors, such as flawed inference constructs. Motivated by probabilistic programmers’ domain expertise and debugging strategies, we introduce RefineStat, a language model–driven framework that enforces semantic constraints ensuring synthesized programs contain valid distributions, well‐formed parameters, and then applies diagnostic‐aware refinement by resampling prior or likelihood components whenever reliability checks fail. We evaluate RefineStat on multiple probabilistic-programming code-generation tasks using smaller language models (SLMs) and find that it produces programs that are both syntactically sound and statistically reliable, often matching or surpassing those from closed-source large language models (e.g., OpenAI o3).",Oral,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)","Probabilistic Programming, Constrained Generation","4, 6, 8, 8","3, 3, 3, 4","4, 3, 5, 3","3, 3, 3, 3","3, 3, 3, 3",https://openreview.net/pdf?id=SAl337ZX5d,0.8433200287023901,SWE Agents,high,The paper introduces a framework for automating the synthesis and refinement of probabilistic code using language models. This aligns with SWE Agents as it focuses on agentic code generation and debugging capabilities.,1.1290508168377242
https://openreview.net/forum?id=mfIbSouoaZ,Reinforcement Learning for Machine Learning Engineering Agents,"Machine learning engineering (MLE) has a clear objective: Given an MLE task and a verifier (e.g., performance on some held-out data), what is the most effective way to utilize compute to achieve the best performance for the given task? Existing language model (LM) agents rely on prompting frontier LMs and accumulating experience non-parametrically by storing and retrieving experience through agent scaffolds and test-time compute. In this paper, we show that in environments such as MLE where a good verifier is available, adapting the LM parameters through gradient updates can be more effective in utilizing compute and agent’s experience. Specifically, we show that agents backed by weaker models that improve via reinforcement learning (RL) can eventually outperform agents backed by much larger, but static models for a given MLE task. We identify two major challenges with RL in this setting. First, actions can take a variable amount of time (e.g., executing code for different solutions), which leads to asynchronous policy gradient updates that favor faster but suboptimal solutions. We propose duration-aware gradient updates in a distributed asynchronous RL framework to amplify high-cost but high-reward actions. Second, using performance on the held-out data as a reward for MLE provides limited feedback. A program that’s nearly correct is treated the same as one that fails entirely (e.g., during data loading). We propose environment instrumentation to offer verifiable partial credit, using a separate, static language model to insert print statement to an existing program. Our experiments suggest that a small LM (Qwen2.5-3B) adapted with RL, when given enough compute, can solve an MLE task better than prompting a frontier model (Claude-3.5-Sonnet) with the state-of-the-art agent scaffold (AIDE) by an average of 22% across 12 Kaggle tasks.",Poster,reinforcement learning,"Machine learning engineering, language model agents, reinforcement learning","6, 6, 6, 8","3, 3, 3, 4","3, 3, 4, 3","3, 3, 3, 3","3, 3, 2, 4",https://openreview.net/pdf?id=mfIbSouoaZ,0.920213717575725,SWE Agents,high,"The paper focuses on training agents to automate machine learning engineering tasks, which inherently involves writing and debugging code for Kaggle competitions. This aligns with the SWE Agents category as it pertains to agentic coding and research agents that write software.",1.062238832238823
https://openreview.net/forum?id=T0EiEuhOOL,"Huxley-G\""odel Machine: Human-Level Coding Agent Development by an Approximation of the Optimal Self-Improving Machine","Recent studies operationalize self-improvement through coding agents that edit their own codebases, grow a tree of self-modifications through expansion strategies that favor higher software engineering benchmark performance, 
considering that this implies more promising subsequent self-modifications. However, we identify a mismatch between the agent’s self-improvement potential (metaproductivity) and its coding benchmark performance, namely the \emph{Metaproductivity-Performance~Mismatch}. Inspired by Huxley’s concept of clade, we propose a metric ($\mathrm{CMP}$) that aggregates the benchmark performances of the \emph{descendants} of an agent as an indicator of its potential for self-improvement. We show that the G\""odel Machine, the optimal self-improving machine, is achieved with access to true $\mathrm{CMP}$. We introduce the Huxley-G\""odel Machine (HGM), which, by estimating $\mathrm{CMP}$ and using it as guidance, searches the tree of self-modifications. On SWE-bench Verified and Polyglot, HGM outperforms prior self-improving coding agent search methods while using less wall-clock time. Moreover, the agent optimized by HGM on SWE-bench Verified outperforms SWE-agent, a leading human-engineered open source coding agent on SWE-bench Lite, where SWE-agent ranks the best on the official leaderboard, when both use the GPT-5-mini backbone, demonstrating that HGM self-improvement indeed enhances genuine coding capability.",Oral,"transfer learning, meta learning, and lifelong learning","Self-Improvement, Coding Agents, G\""odel Machine","4, 6, 6, 8","3, 3, 3, 4","3, 4, 4, 2","2, 3, 3, 3","3, 3, 3, 4",https://openreview.net/pdf?id=T0EiEuhOOL,0.6005804922233235,SWE Agents,high,The paper focuses on developing self-improving coding agents and evaluates them on software engineering benchmarks like SWE-bench. This aligns directly with the SWE Agents category covering research agents that write or debug code.,1.0252471226197082
https://openreview.net/forum?id=OnkRqbNhe3,SWERank: Software Issue Localization with Code Ranking,"Software issue localization, the task of identifying the precise code locations (files, classes, or functions) relevant to a natural language issue description (e.g., bug report, feature request), is a critical yet time-consuming aspect of software development. While recent LLM-based agentic approaches demonstrate promise, they often incur significant latency and cost due to complex multi-step reasoning and relying on closed-source LLMs. Alternatively, traditional code ranking models, typically optimized for query-to-code or code-to-code retrieval, struggle with the verbose and failure-descriptive nature of issue localization queries. To bridge this gap, we introduce SWERank, an efficient and effective retrieve-and-rerank framework for software issue localization. To facilitate training, we construct SWELoc, a large-scale dataset curated from public GitHub repositories, featuring real-world issue descriptions paired with corresponding code modifications. Empirical results on SWE-Bench-Lite and LocBench show that SWERank achieves state-of-the-art performance, outperforming both prior ranking models and costly agent-based systems using closed-source LLMs like Claude-3.5. Further, we demonstrate SWELoc's utility in enhancing various existing retriever and reranker models for issue localization, establishing the dataset as a valuable resource for the community.",Poster,"unsupervised, self-supervised, semi-supervised, and supervised representation learning","Software Issue Localization, Automated Code Repair, Retrieve-and-Rerank","4, 4, 6, 8","3, 3, 3, 4","4, 4, 3, 5","3, 3, 3, 3","2, 3, 3, 4",https://openreview.net/pdf?id=OnkRqbNhe3,0.42717204959850064,SWE Agents,high,"The paper addresses software issue localization, a core task in automated software engineering and debugging workflows associated with SWE agents. Despite using a retrieval framework, the domain and benchmarks (SWE-Bench) align directly with the software engineering automation focus of this category.",0.7203694430859251
https://openreview.net/forum?id=Cug26Y0RlT,AI-for-Science Low-code Platform with Bayesian Adversarial Multi-Agent Framework,"Large Language Models (LLMs) demonstrate potentials for automating scientific code generation but face challenges in reliability, error propagation in multi-agent workflows, and evaluation in domains with ill-defined success metrics. We present a Bayesian adversarial multi-agent framework specifically designed for AI for Science (AI4S) tasks in the form of a Low-code Platform (LCP). Three LLM-based agents are coordinated under the Bayesian framework: a Task Manager that structures user inputs into actionable plans and adaptive test cases, a Code Generator that produces candidate solutions, and an Evaluator providing comprehensive feedback. The framework employs an adversarial loop where the Task Manager iteratively refines test cases to challenge the Code Generator, while prompt distributions are dynamically updated using Bayesian principles by integrating code quality metrics: functional correctness, structural alignment, and static analysis. This co-optimization of tests and code reduces dependence on LLM reliability and addresses evaluation uncertainty inherent to scientific tasks. LCP also streamlines human-AI collaboration by translating non-expert prompts into domain-specific requirements, bypassing the need for manual prompt engineering by practitioners without coding backgrounds. Benchmark evaluations demonstrate LCP’s effectiveness in generating robust code while minimizing error propagation. The proposed platform is also tested on an Earth Science cross-disciplinary task and demonstrates strong reliability, outperforming competing models.",Poster,"probabilistic methods (Bayesian methods, variational inference, sampling, UQ, etc.)","Multi-agent framework, Bayesian inference, LLM, AI-for-Science","4, 6, 6","3, 2, 1","4, 4, 4","3, 3, 3","3, 3, 3",https://openreview.net/pdf?id=Cug26Y0RlT,0.472382683816319,SWE Agents,high,"The paper introduces a multi-agent framework focused on automating code generation and debugging workflows, which aligns directly with the definition of research agents that write code. Although applied to scientific tasks, the core contribution is in agentic coding rather than biological or medical domains.",0.7043918176553906
https://openreview.net/forum?id=qJsShqQgWw,Algorithm Generation via Creative Ideation,"Designing system algorithms remains challenging, where the discontinuous nature of the solution space often forces system engineers to rely on generic heuristics at the expense of performance. We study whether LLMs can practically drive algorithm generation, and find that they are biased towards well-known generic designs, rather than making the creative leaps needed to navigate the discontinuous solution space. To address this limitation, we introduce MetaMuse, a framework for creative ideation built on three self-reflection principles: (1) quantifying solution diversity and usefulness in measurable performance space, rather than abstract idea space, (2) steering ideation through external stimuli, rather than internal randomness, and (3) constructing executable solutions using waypoint reasoning, rather than free-form chain-of-thought. Extensive evaluation shows that MetaMuse can generate high-performing solutions for two critical problems at a global cloud provider: cache replacement (reducing cache misses by up to 35.76%) and online bin packing (reducing bin usage by up to 30.93%).",Poster,"other topics in machine learning (i.e., none of the above)","system algorithm design, creativity, ideation, self-reflection","4, 4, 6, 8","3, 3, 3, 3","4, 4, 4, 3","2, 3, 3, 4","3, 2, 3, 4",https://openreview.net/pdf?id=qJsShqQgWw,0.3996472802050697,SWE Agents,high,The paper introduces an agentic framework specifically designed to generate executable algorithmic code for system optimization tasks. This aligns with the SWE Agents category focusing on research agents that write or debug code.,0.6517677149671284
https://openreview.net/forum?id=jSQPqdoidy,SK2Decompile: LLM-based Two-Phase Binary Decompilation from Skeleton to Skin,"Large Language Models (LLMs) have emerged as a promising approach for binary decompilation. However, the existing LLM-based decompilers still are somewhat limited in effectively presenting a program's source-level structure with its original identifiers.
To mitigate this, we introduce SK2Decompile, a novel two-phase approach to decompile from the skeleton (semantic structure) to the skin (identifier) of programs. Specifically, we first apply a Structure Recovery model to translate a program's binary code to an Intermediate Representation (IR) as deriving the program's ""skeleton"", i.e., preserving control flow and data structures while obfuscating all identifiers with generic placeholders. We also apply reinforcement learning to reward the model for producing program structures that adhere to the syntactic and semantic rules expected by compilers. Second, we apply an Identifier Naming model to produce meaningful identifiers which reflect actual program semantics as deriving the program's ""skin"". We train the Identifier Naming model with a separate reinforcement learning objective that rewards the semantic similarity between its predictions and the reference code. Such a two-phase decompilation process facilitates advancing the correctness and readability of decompilation independently.
Our evaluations indicate that SK2Decompile, significantly outperforms the SOTA baselines, achieving 21.6% average re-executability rate gain over GPT-5-mini on the HumanEval dataset and 29.4% average R2I improvement over Idioms on the GitHub2025 benchmark.",Poster,"other topics in machine learning (i.e., none of the above)","decompilation, binary analysis","4, 6, 6, 8","3, 3, 2, 3","5, 4, 3, 4","3, 3, 2, 3","2, 3, 3, 3",https://openreview.net/pdf?id=jSQPqdoidy,0.3011699824274871,SWE Agents,high,"The paper focuses on automated code recovery and decompilation using LLMs, which is a core software engineering task involving code generation. This aligns with the SWE Agents category as the designated domain for AI-driven software engineering and code generation research.",0.5667191918874495
