site,title,abstract,status,primary_area,keywords,rating,presentation,confidence,soundness,contribution,pdf_link,score_top_overall,llm_category,llm_confidence,llm_reasoning,local_top_overall
https://openreview.net/forum?id=Jb1WkNSfUB,TileLang: Bridge Programmability and Performance in Modern Neural Kernels,"Modern AI algorithms increasingly adopt fused kernels for performance, but implementing them remains complex due to the lack of fine-grained control in existing compilers like Triton. We introduce TileLang, a controllable programming system for fused neural kernels. TileLang provides explicit tile-level primitives for memory placement, data movement, and parallel scheduling. To guide developers in hardware-aware programming, the TileLang introduces two key techniques: tile inference which models tile programs as fused graphs and automatically deduces tile configuration from partial annotations; and tile recommendation that suggests efficient tile configurations based on hardware profiles and heuristics. TileLang makes it easy to express a wide range of fused attention kernels in under 80 lines of Python code, reducing code size by up to 90% compared to manual implementations. Evaluations show that TileLang achieves up to 5x speedup over Triton on NVIDIA H100 and up to 6 on AMD GPUs, demonstrating its ability to bridge programmability and performance.",Oral,"infrastructure, software libraries, hardware, systems, etc.","compiler,  AI,  programming model","4, 8, 8, 8","3, 3, 3, 2","5, 5, 5, 4","4, 4, 3, 4","2, 4, 4, 4",https://openreview.net/pdf?id=Jb1WkNSfUB,2.1374511285497357,Infrastructure,high,"The paper introduces a programming system for optimizing fused neural kernels on GPUs, explicitly targeting hardware acceleration and Triton kernel performance. This aligns directly with the Infrastructure category's focus on GPU/CUDA/Triton kernels and hardware acceleration.",2.114820154669357
https://openreview.net/forum?id=c5mdo1hWrs,FSA: An Alternative Efficient Implementation of Native Sparse Attention Kernel,"Recent advance in sparse attention mechanisms has demonstrated strong potential for reducing the computational cost of long-context training and inference in large language models (LLMs). Native Sparse Attention (NSA), one state-of-the-art approach, introduces natively trainable, hardware-aligned sparse attention that delivers substantial system-level performance boost while maintaining accuracy comparable to full attention. However, the kernel implementation of NSA forces a loop order that is only efficient with a relatively large number of query heads in each Grouped Query Attention (GQA) group, whereas existing LLMs widely adopt much smaller number of query heads in each GQA group --- such an inconsistency significantly limits the applicability of this sparse algorithmic advance. In this work, we propose **F**lash **S**parse **A**ttention (**FSA**), an alternative kernel implementation that enables efficient NSA computation across a wide range of popular LLMs with varied smaller number of query heads in each GQA group on modern GPUs. Compared to vanilla NSA kernel implementation, our empirical evaluation demonstrates that FSA achieves (i) up to 3.5x and on average 1.6x kernel-level latency reduction, (ii) up to 1.25x and 1.09x on average end-to-end training speedup on state-of-the-art LLMs, and (iii) up to 1.36x and 1.11x on average for prefill-phase speedup in LLM generative inference.",Poster,"foundation or frontier models, including LLMs","Efficient attention, GPUs, Long context LLMs, Sparse attention","6, 8, 8","3, 3, 4","4, 3, 3","3, 3, 3","3, 3, 4",https://openreview.net/pdf?id=c5mdo1hWrs,1.54098534107923,Infrastructure,high,"The paper introduces a new GPU kernel implementation (FSA) to optimize sparse attention mechanisms for both training and inference workloads. This aligns directly with the Infrastructure category's focus on GPU kernels, hardware acceleration, and system-level performance improvements.",1.6053251211853834
https://openreview.net/forum?id=0g5Dk4Qfh0,Not All Clients Are Equal: Collaborative Model Personalization on Heterogeneous Multi-Modal Clients,"As AI becomes more personal, e.g., Agentic AI, there is an increasing need for personalizing models for various use cases.
Personalized federated learning (PFL) enables each client to collaboratively leverage other clients' knowledge for better adaptation to the task of interest, without privacy risks. Despite its potential, existing PFL methods remain confined to rather simplified scenarios where data and models are the same across clients. To move towards realistic scenarios, we propose FedMosaic, a method that jointly addresses data and model heterogeneity with a task-relevance-aware model aggregation strategy to reduce parameter interference, and a dimension-invariant module that enables knowledge sharing across heterogeneous architectures without huge computational cost.
To mimic the real-world task diversity, we propose a multi-modal PFL benchmark spanning 40 distinct tasks with distribution shifts over time. The empirical study shows that FedMosaic outperforms the state-of-the-art PFL methods, excelling in both personalization and generalization capabilities under challenging, realistic scenarios.",Poster,"applications to computer vision, audio, language, and other modalities","Collaborative Learning, Federated Learning, Continual Learning, Multi-modal Learning, Personalization, Distributed Learning","4, 6, 8, 10","3, 2, 3, 4","4, 3, 4, 4","3, 3, 3, 4","2, 3, 4, 4",https://openreview.net/pdf?id=0g5Dk4Qfh0,1.3574294382234768,Infrastructure,high,"The paper proposes a method for Personalized Federated Learning, which is explicitly listed under the Infrastructure category in the provided guidelines. The core focus is on distributed model aggregation and handling heterogeneity across clients.",1.4277358029175566
https://openreview.net/forum?id=0jHyEKHDyx,Why Low-Precision Transformer Training Fails: An Analysis on Flash Attention,"The pursuit of computational efficiency has driven the adoption of low-precision formats for training transformer models. However, this progress is often hindered by notorious training instabilities. This paper provides the first mechanistic explanation for a long-standing and unresolved failure case where training with flash attention in low-precision settings leads to catastrophic loss explosions. Our in-depth analysis reveals that the failure is not a random artifact but caused by two intertwined phenomena: the emergence of similar low-rank representations within the attention mechanism and the compounding effect of biased rounding errors inherent in low-precision arithmetic. We demonstrate how these factors create a vicious cycle of error accumulation that corrupts weight updates, ultimately derailing the training dynamics. To validate our findings, we introduce a minimal modification to the flash attention that mitigates the bias in rounding errors. This simple change stabilizes the training process, confirming our analysis and offering a practical solution to this persistent problem. Code is available at https://anonymous.4open.science/r/why-low-precision-training-fails.",Oral,"other topics in machine learning (i.e., none of the above)","low-precision training, transformer, attention","4, 6, 8, 8","2, 3, 3, 4","2, 4, 4, 4","3, 3, 4, 4","2, 4, 4, 3",https://openreview.net/pdf?id=0jHyEKHDyx,1.4017815548945323,Infrastructure,high,"The paper focuses on training stability and numerical precision within Flash Attention kernels, aligning with infrastructure and hardware efficiency. It addresses low-precision training issues and kernel modifications rather than inference algorithms or agent behavior.",1.2572850514717895
https://openreview.net/forum?id=mX8b64iUaa,FlashRNN: Unlocking Parallel Training of Nonlinear RNNs for Large Language Models,"Recurrent Neural Networks (RNNs) laid the foundation for sequence modeling, but their intrinsic sequential nature restricts parallel computation, creating a fundamental barrier to scaling. This has led to the dominance of parallelizable architectures like Transformers and, more recently, State Space Models (SSMs). While SSMs achieve efficient parallelization through structured linear recurrences, this linearity constraint limits their expressive power and precludes modeling complex, nonlinear sequence-wise dependencies.
To address this, we present FlashRNN, a framework that breaks the sequence-parallelization barrier for nonlinear RNNs. Building on prior work, we cast the sequence of nonlinear recurrence relationships as a single system of equations, which we solve in parallel using Newton's iterations combined with custom parallel reductions. Our implementation achieves speedups of up to $665\times$ over na\""ive sequential application, allowing training nonlinear RNNs at unprecedented scales. To showcase this, we apply FlashRNN to adaptations of LSTM and GRU architectures, successfully training models of 7B parameters that attain perplexity comparable to similarly-sized Transformers and Mamba2 architectures.
To accelerate research in efficient sequence modeling, we release the FlashRNN codebase as an open-source framework for automatic training-parallelization of nonlinear RNNs, enabling researchers and practitioners to explore new nonlinear RNN models at scale.",Oral,"foundation or frontier models, including LLMs","RNN, Mamba, SSM, Transformers, Parallelization, Parallel scan, Nonlinear","6, 6, 6, 8","4, 2, 4, 3","3, 3, 4, 4","3, 3, 4, 3","4, 3, 3, 3",https://openreview.net/pdf?id=mX8b64iUaa,1.3362278392559748,Infrastructure,high,The core contribution is a system framework enabling parallel training of nonlinear RNNs via custom parallel reductions and Newton's iterations. This aligns with Infrastructure as it addresses training efficiency and GPU-parallel optimization rather than inference or application domains.,1.2527276346973513
https://openreview.net/forum?id=zCadrJ32Xn,DualMap: Enabling Both Cache Affinity and Load Balancing for Distributed LLM Serving,"In large language model (LLM) serving, reusing the key-value (KV) cache of prompts across requests is a key technique for reducing time-to-first-token (TTFT) and lowering serving costs. Cache-affinity scheduling, which co-locates requests with the same prompt prefix to maximize KV cache reuse, often conflicts with load-balancing scheduling, which aims to distribute requests evenly across compute instances. Existing schedulers struggle to reconcile this trade-off, as they operate within a single mapping space, typically applying cache-affinity routing to a subset of requests and load-balanced routing to the rest, without a unified solution to achieve both goals. To overcome this limitation, we propose DualMap, a dual-mapping scheduling strategy for distributed LLM serving that simultaneously enables cache affinity and load balancing. The key idea of DualMap is to map each request to two candidate instances using two independent hash functions based on the request prompt, and then intelligently select the better candidate based on current system states. This design increases the likelihood that requests with shared prefixes are co-located, while evenly dispersing distinct prefixes across the cluster via ``the power of two choices''. To make DualMap robust under dynamic and skewed real-world workloads, we incorporate three techniques: 1) SLO-aware request routing,  which prioritizes cache affinity but switches to load-aware scheduling when TTFT exceeds the SLO, enhancing load balance without sacrificing cache reuse; 2) hotspot-aware rebalancing, which dynamically migrates requests from overloaded to underloaded instances, mitigating hotspots and rebalancing the system; 3) lightweight dual-hash-ring scaling, which leverages a dual-hash-ring mapping to support fast and low-overhead instance scaling without costly global remapping. Experiments on real-world workloads show that DualMap improves effective request capacity by up to 2.25$\times$ under the same TTFT SLO constraints, compared with the state-of-the-art work.",Poster,"infrastructure, software libraries, hardware, systems, etc.","Distributed LLM Serving, LLM Context Caching, Request Scheduling, Cache Affinity, Load Balancing","4, 6, 8, 8","3, 4, 3, 4","4, 5, 3, 4","3, 4, 4, 4","2, 2, 4, 4",https://openreview.net/pdf?id=zCadrJ32Xn,1.4633356279920844,Infrastructure,high,"The paper proposes a scheduling strategy for distributed LLM serving systems to optimize cache affinity and load balancing across compute instances. This focuses on system architecture and resource management, fitting the infrastructure category rather than algorithmic inference or agent behaviors.",1.1794336864448438
https://openreview.net/forum?id=bFYfV6c9zu,Differentiable Model Predictive Control on the GPU,"Differentiable model predictive control (MPC) offers a powerful framework for combining learning and control. However, its adoption has been limited by the inherently sequential nature of traditional optimization algorithms, which are challenging to parallelize on modern computing hardware like GPUs. In this work, we tackle this bottleneck by introducing a GPU-accelerated differentiable optimization tool for MPC. This solver leverages sequential quadratic programming and a custom preconditioned conjugate gradient (PCG) routine with tridiagonal preconditioning to exploit the problem's structure and enable efficient parallelization. We demonstrate substantial speedups over CPU- and GPU-based baselines, significantly improving upon state-of-the-art training times on benchmark reinforcement learning and imitation learning tasks. Finally, we showcase the method on the challenging task of reinforcement learning for driving at the limits of handling, where it enables robust drifting of a Toyota Supra through water puddles.",Oral,"applications to robotics, autonomy, planning","differentiable optimization, model predictive control, optimal control, gpu-accelerated optimization, reinforcement learning, imitation learning, robotics","6, 8, 8","3, 4, 4","3, 3, 3","3, 3, 3","3, 3, 3",https://openreview.net/pdf?id=bFYfV6c9zu,1.2496291032372357,Infrastructure,high,"The paper's primary contribution is a GPU-accelerated optimization solver focusing on hardware parallelization and custom routines, which aligns with the Infrastructure category's focus on GPU kernels and hardware acceleration. Although applied to control tasks, the novelty lies in the computational infrastructure enabling efficiency rather than the robotic policy or control theory itself.",1.1693362061093777
https://openreview.net/forum?id=XJXZXuTj11,QVGen: Pushing the Limit of Quantized Video Generative Models,"Video diffusion models (DMs) have enabled high-quality video synthesis. Yet, their substantial computational and memory demands pose serious challenges to real-world deployment, even on high-end GPUs. As a commonly adopted solution, quantization has proven notable success in reducing cost for image DMs, while its direct application to video DMs remains ineffective.  In this paper, we present *QVGen*, a novel quantization-aware training (QAT) framework tailored for high-performance and inference-efficient video DMs under extremely low-bit quantization (*e.g.*, $4$-bit or below). We begin with a theoretical analysis demonstrating that reducing the gradient norm is essential to facilitate convergence for QAT. To this end, we introduce auxiliary modules ($\Phi$) to mitigate large quantization errors, leading to significantly enhanced convergence. To eliminate the inference overhead of $\Phi$, we propose a *rank-decay* strategy that progressively eliminates $\Phi$. Specifically, we repeatedly employ singular value decomposition (SVD) and a proposed rank-based regularization $\mathbf{\gamma}$ to identify and decay low-contributing components. This strategy retains performance while zeroing out additional inference overhead. Extensive experiments across $4$ state-of-the-art (SOTA) video DMs, with parameter sizes ranging from $1.3\text{B}\sim14\text{B}$, show that QVGen is *the first* to reach full-precision comparable quality under $4$-bit settings. Moreover, it significantly outperforms existing methods. For instance, our $3$-bit CogVideoX-2B achieves improvements of $+25.28$ in Dynamic Degree and $+8.43$ in Scene Consistency on VBench. Code and models are available at https://github.com/ModelTC/QVGen.",Poster,"applications to computer vision, audio, language, and other modalities","quantization-aware training, video diffusion models","6, 6, 6, 8, 8","3, 3, 3, 4, 3","5, 4, 3, 3, 3","3, 3, 3, 4, 3","3, 3, 3, 3, 3",https://openreview.net/pdf?id=XJXZXuTj11,1.2309010459419496,Infrastructure,high,"The paper focuses on quantization and model compression to reduce memory and compute demands, aligning with the infrastructure category's explicit inclusion of compression and memory-efficient training.",1.1228357942333396
https://openreview.net/forum?id=zw8zxMJJlm,QeRL: Beyond Efficiency - Quantization-enhanced Reinforcement Learning for LLMs,"We propose QeRL, a Quantization-enhanced Reinforcement Learning framework for large language models (LLMs). While RL is essential for LLMs' reasoning capabilities, it is resource-intensive, requiring substantial GPU memory and long rollout duration. QeRL addresses these issues by combining NVFP4 quantization with Low-Rank Adaptation (LoRA), accelerating rollout phase of RL while reducing memory overhead. Beyond efficiency, our findings show that quantization noise increases policy entropy, enhancing exploration, and enabling the discovery of better strategies during RL. To further optimize exploration, QeRL introduces an Adaptive Quantization Noise (AQN) mechanism, which dynamically adjusts noise throughout training. Experiments demonstrate that QeRL delivers around a 1.2×–1.5× speedup compared to BF16 LoRA in end-to-end RL training while drastically reducing memory usage, and a 1.5×–2.0× speedup compared to QLoRA. Moreover, this is the first framework to enable RL training of a 32B LLM on a single H100 80GB GPU, while delivering overall speedups for RL training. It also achieves faster reward growth and higher final accuracy than 16-bit LoRA and QLoRA, while matching the performance of full-parameter fine-tuning on mathematical benchmarks such as GSM8K (90.8%) and MATH 500 (77.4%) in the 7B model. These results establish QeRL as an efficient and effective framework for RL training in LLMs.",Poster,"applications to computer vision, audio, language, and other modalities","Quantization, RL, LLMs","4, 6, 6, 8","3, 3, 3, 3","4, 4, 3, 3","2, 3, 3, 3","3, 4, 3, 4",https://openreview.net/pdf?id=zw8zxMJJlm,0.8190976706048193,Infrastructure,high,The paper focuses on memory-efficient training and quantization techniques to enable RL on limited hardware resources. This aligns directly with the Infrastructure category's inclusion of memory-efficient training and hardware acceleration.,1.1081015595611525
https://openreview.net/forum?id=D9cnZNZfxX,TD-MoE: Tensor Decomposition for MoE Models,"Mixture-of-Experts (MoE) architectures have demonstrated remarkable capabilities and scalability for large language models, but incur a prohibitive memory footprint due to duplicated expert parameters. Existing compression approaches, particularly those based on low-rank decomposition, typically operate at the granularity of individual experts. However, such per-expert methods overlook structural redundancies across experts, limiting their compression efficiency and effectiveness. In this work, we introduce TD-MoE (Tensor Decomposition for MoE Compression), a data-aware framework that jointly and holistically factorizes expert weights. Our contributions are threefold: (i) Cross-expert tensorization with joint 3D decomposition, which unifies all experts within a layer into a single tensor and captures shared structure beyond per-expert scope; (ii) A multi-linear whitening strategy, which decorrelates input and output features, yielding a more balanced and data-adaptive decomposition; (iii) A 3D rank allocation mechanism, which dynamically assigns 3D decomposition ranks across dimensions to best meet a target compression ratio while minimizing the reconstruction error. Extensive experiments on Qwen2-57B-A14 and Mixtral-8×7B across seven commonsense reasoning benchmarks demonstrate that TD-MoE achieves almost lossless performance under 20\% parameter reduction, and delivers more than 11\% and 14\% gains over state-of-the-art decomposition-based baselines at 40\% and 60\% compression. Further ablation studies validate the effectiveness of each component, highlighting the importance of joint factorization, whitening, and rank allocation. The code is available at \href{https://anonymous.4open.science/r/TD-MoE}{https://anonymous.4open.science/r/TD-MoE}.",Poster,"applications to computer vision, audio, language, and other modalities","Mixture-of-Experts, Model Compression, Tucker Decomposition","4, 6, 10","2, 3, 4","4, 4, 3","3, 4, 4","3, 3, 3",https://openreview.net/pdf?id=D9cnZNZfxX,1.2955051608788946,Infrastructure,high,"The paper focuses on model compression to reduce memory footprint, aligning with the Infrastructure category's explicit inclusion of compression and memory-efficient techniques. It does not fit Inference Optimisation as the method involves structural weight factorization rather than test-time compute strategies.",1.0836785780750289
