site,title,abstract,status,primary_area,keywords,rating,presentation,confidence,soundness,contribution,pdf_link,score_top_overall,llm_category,llm_confidence,llm_reasoning,local_top_overall
https://openreview.net/forum?id=CiZMMAFQR3,LeRobot: An Open-Source Library for End-to-End Robot Learning,"Robotics is undergoing a significant transformation powered by advances in high-level control techniques based on machine learning, giving rise to the field of robot learning.
Recent progress in robot learning has been accelerated by the increasing availability of affordable teleoperation systems, large-scale openly available datasets, and scalable learning-based methods.
However, development in the field of robot learning is often slowed by fragmented, closed-source tools designed to only address specific sub-components within the robotics stack.
In this paper, we present lerobot, an open-source library that integrates across the entire robotics stack, from low-level middleware communication for motor controls to large-scale dataset collection, storage and streaming.
The library is designed with a strong focus on real-world robotics, supporting accessible hardware platforms while remaining extensible to new embodiments.
It also supports efficient implementations for various state-of-the-art robot learning algorithms from multiple prominent paradigms, as well as a generalized asynchronous inference stack.
Unlike traditional pipelines which heavily rely on hand-crafted techniques, lerobot emphasizes scalable learning approaches that improve directly with more data and compute.
Designed for accessibility, scalability, and openness, lerobot lowers the barrier to entry for researchers and practitioners to robotics while providing a platform for reproducible, state-of-the-art robot learning.",Poster,"infrastructure, software libraries, hardware, systems, etc.","robot learning, open source, robotics","6, 8, 8","3, 3, 1","5, 4, 4","3, 4, 3","4, 4, 4",https://openreview.net/pdf?id=CiZMMAFQR3,2.4237267670194655,Robotics,high,"The paper introduces a library specifically designed for robot learning, covering motor controls, hardware platforms, and embodied AI workflows. This aligns directly with the Robotics category as it enables physical robot control and learning rather than general ML infrastructure.",2.7138345292454007
https://openreview.net/forum?id=a9bOgeqbdB,RAP: 3D Rasterization Augmented End-to-End Planning,"Imitation learning for end-to-end driving trains policies only on expert demonstrations. Once deployed in a closed loop, such policies lack recovery data: small mistakes cannot be corrected and quickly compound into failures. A promising direction is to generate alternative viewpoints and trajectories beyond the logged path. Prior work explores photorealistic digital twins via neural rendering or game engines, but these methods are prohibitively slow and costly, and thus mainly used for evaluation. In this work, we argue that photorealism is unnecessary for training end-to-end planners. What matters is semantic fidelity and scalability: driving depends on geometry and dynamics, not textures or lighting. Motivated by this, we propose 3D Rasterization, which replaces costly rendering with lightweight rasterization of annotated primitives, enabling augmentations such as counterfactual recovery maneuvers and cross-agent view synthesis. To transfer these synthetic views effectively to real-world deployment, we introduce a Raster-to-Real (R2R) feature-space alignment that bridges the sim-to-real gap at the representation level. Together, these components form the Rasterization Augmented Planning (RAP) pipeline, a scalable data augmentation framework for planning. RAP achieves state-of-the-art closed-loop robustness and long-tail generalization, ranking 1st on four major benchmarks: NAVSIM v1/v2, Waymo Open Dataset Vision-based E2E Driving, and Bench2Drive. Our results demonstrate that lightweight rasterization with feature alignment suffices to scale end-to-end training, offering a practical alternative to photorealistic rendering. Project page: https://alan-lanfeng.github.io/RAP/.",Poster,"applications to robotics, autonomy, planning","Autonomous Driving, Planning, Sim-to-Real","6, 6, 8","3, 4, 3","3, 4, 4","3, 4, 4","4, 3, 4",https://openreview.net/pdf?id=a9bOgeqbdB,2.0632182620530224,Robotics,high,"The paper focuses on end-to-end planning for autonomous driving, which is explicitly included in the robotics category definition. The core contribution improves closed-loop robustness for vehicle control systems via a novel data augmentation pipeline.",1.9770129528480687
https://openreview.net/forum?id=kkBOIsrCXh,Embodied Navigation Foundation Model,"Navigation is a fundamental capability in embodied AI, representing the intelligence required to perceive and interact within physical environments. To achieve such intelligence, recent advanced works leverage Vision-Language Models (VLMs), which demonstrate strong generalizability and possess a well-suited formulation for navigation. However, these approaches remain largely confined to narrow task settings and embodiment-specific architectures. In this work, we introduce a cross-embodiment and cross-task Navigation Foundation Model (NavFoM), trained on eight million navigation samples that encompass quadrupeds, drones, wheeled robots, and vehicles, and spanning diverse tasks such as vision-and-language navigation, object searching, target tracking, and autonomous driving. NavFoM employs a unified architecture that processes multimodal navigation inputs from varying camera configurations and navigation horizons. To accommodate diverse camera setups and temporal horizons, NavFoM incorporates identifier tokens that embed camera view information of embodiments and the temporal context of tasks.  Furthermore, to meet the demands of real-world deployment, NavFoM controls all observation tokens using a dynamically adjusted sampling strategy under a limited token length budget. Extensive evaluations on seven public benchmarks demonstrate that our model achieves state-of-the-art or highly competitive performance across different navigation tasks and embodiments without requiring task-specific fine-tuning. Additional real-world experiments further confirm the strong generalizability and practical applicability of our approach.",Poster,"applications to robotics, autonomy, planning","Embodied Navigation, Vision-Language-Action Model","6, 8, 8, 10","3, 3, 3, 4","3, 2, 4, 4","3, 3, 4, 4","3, 3, 3, 4",https://openreview.net/pdf?id=kkBOIsrCXh,2.080416819114227,Robotics,high,The paper introduces a foundation model for embodied navigation across diverse physical robots like drones and wheeled vehicles. This focus on physical interaction and control systems aligns directly with the Robotics category.,1.8914836548739011
https://openreview.net/forum?id=TQhSodCM4r,SimpleVLA-RL: Scaling VLA Training via Reinforcement Learning,"Vision-Language-Action (VLA) models have emerged as a powerful paradigm for robotic manipulation. Despite substantial progress enabled by large-scale pretraining and supervised fine-tuning (SFT), these models face two fundamental challenges:
(i) the scarcity and high cost of large-scale robotic trajectories required for SFT scaling,
and (ii) limited generalization to tasks under distribution shift.
To overcome these limitations, we explore reinforcement learning (RL) as a pathway to scaling VLA training beyond limited datasets.
Inspired by LLM breakthroughs where RL with outcome rewards enhances step-by-step reasoning, we ask: Can outcome-driven RL improve long-horizon step-by-step action planning of VLA?
In this work, we introduce SimpleVLA-RL, an efficient RL framework tailored for VLA models.
Building upon veRL, we introduce VLA-specific trajectory sampling, scalable parallelization, multi-environment rendering, and optimized loss computation.
Applied to OpenVLA-OFT, SimpleVLA-RL achieves 99\% of SoTA performance on LIBERO and 80\% relative
improvement on RoboTwin 1.0\&2.0, outperforming $\pi_0$ with our proposed exploration-enhancing strategies.
SimpleVLA-RL reduces dependence on large-scale data, enables robust generalization, and remarkably surpasses SFT in real-world tasks.
Moreover, we identify a novel phenomenon ""pushcut'' during RL training, wherein the policy discovers unseen patterns beyond those seen in previous training process.",Poster,"applications to robotics, autonomy, planning","VLA Models, Reinforcement Learning, Bimanual Manipulation, Robot Learning","6, 6, 8, 8","3, 3, 4, 4","4, 4, 4, 5","3, 3, 3, 4","3, 3, 3, 4",https://openreview.net/pdf?id=TQhSodCM4r,1.6183271107427049,Robotics,high,The paper focuses on enhancing robotic manipulation capabilities through a specialized reinforcement learning framework for Vision-Language-Action models. Evaluations on robotic benchmarks and real-world tasks confirm the primary focus is on embodied AI performance.,1.621256993801996
https://openreview.net/forum?id=VSWjHIveqZ,Abstracting Robot Manipulation Skills via Mixture-of-Experts Diffusion Policies,"Diffusion-based policies have recently shown strong results in robot manipulation, but their extension to multi-task scenarios is hindered by the high cost of scaling model size and demonstrations. We introduce Skill Mixture-of-Experts Policy (SMP), a diffusion-based mixture-of-experts policy that learns a compact orthogonal skill basis and uses sticky routing to compose actions from a small, task-relevant subset of experts at each step. A variational training objective supports this design, and adaptive expert activation at inference yields fast sampling without oversized backbones. We validate SMP in simulation and on a real dual-arm platform with multi-task learning and transfer learning tasks, where SMP achieves higher success rates and markedly lower inference cost than large diffusion baselines. These results indicate a practical path toward scalable, transferable multi-task manipulation: learn reusable skills once, activate only what is needed, and adapt quickly when tasks change.",Poster,"applications to robotics, autonomy, planning","Imitation Learning, Mixture of Experts","4, 6, 8, 8","2, 2, 3, 4","4, 3, 4, 4","3, 3, 4, 4","3, 3, 4, 4",https://openreview.net/pdf?id=VSWjHIveqZ,1.6202987332760281,Robotics,high,"The paper introduces a new policy architecture specifically designed for multi-task robot manipulation on physical platforms. While it improves inference efficiency, the primary focus and validation are centered on embodied AI and control systems.",1.6082306528461974
https://openreview.net/forum?id=kt51kZH4aG,X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,"Successful generalist Vision-Language-Action (VLA) models that rely on effective training across diverse robotic platforms with large-scale, cross-embodiment, heterogeneous datasets. To facilitate and leverage the heterogeneity in rich, diverse robotic data sources, we propose a novel Soft Prompt approach with minimally added parameters, by infusing prompt learning concepts into cross-embodiment robot learning and introducing separate sets of learnable embeddings for each distinct data source. These embeddings serve as embodiment-specific prompts, which in unity empower VLA models with effective exploitation of varying cross-embodiment features. Our new X-VLA, a neat flow-matching-based VLA architecture, relies exclusively on soft-prompted standard Transformer encoders with an enhanced encoding pipeline, enjoying both scalability and simplicity. Evaluated across 6 simulation environments as well as 3 real-world robotics platforms, our 0.9B instantiation-X-VLA-0.9B simultaneously achieves state-of-the-art performance over a sweep of benchmark suites, demonstrating superior results on a wide axes of capabilities, from flexible dexterity to quick adaptation across embodiments, environments, and tasks.",Poster,"applications to robotics, autonomy, planning","robotics,  vision language action model,  prompt learning,  heterogeneous pretrainining","6, 8, 8","3, 4, 3","3, 4, 5","3, 4, 4","2, 4, 3",https://openreview.net/pdf?id=kt51kZH4aG,1.8863866962743048,Robotics,high,The paper proposes a Vision-Language-Action model specifically designed for cross-embodiment robot learning and evaluates it on real-world robotics platforms. The primary focus is on enabling generalist capabilities across diverse robotic embodiments.,1.5577248080956587
https://openreview.net/forum?id=z8ggdMlSco,S2GO: Streaming Sparse Gaussian Occupancy,"Despite the efficiency and performance of sparse query-based representations for perception, state-of-the-art 3D occupancy estimation methods still rely on voxel-based or dense Gaussian-based 3D representations. However, dense representations are slow, and they lack flexibility in capturing the temporal dynamics of driving scenes. Distinct from prior work, we instead summarize the scene into a compact set of 3D queries which are propagated through time in an online, streaming fashion. These queries are then decoded into semantic Gaussians at each timestep. We couple our framework with a denoising rendering objective to guide the queries and their constituent Gaussians in effectively capturing scene geometry. Owing to its efficient, query-based representation, S2GO achieves state-of-the-art performance on the nuScenes and KITTI occupancy benchmarks, outperforming prior art (e.g., GaussianWorld) by 2.7 IoU with 4.5x faster inference.",Poster,"applications to computer vision, audio, language, and other modalities","3D Gaussian Splatting, 3D Occupancy Estimation, Autonomous Driving","6, 6, 8, 8","4, 3, 3, 4","5, 5, 3, 4","3, 3, 3, 3","3, 3, 3, 4",https://openreview.net/pdf?id=z8ggdMlSco,1.4208301674439505,Robotics,high,"The paper presents a novel perception framework for 3D occupancy estimation specifically designed for autonomous driving scenes. As the category definition explicitly includes autonomous driving and navigation in the real world, this fits best under Robotics.",1.5397346905951987
https://openreview.net/forum?id=tc2UsBeODW,VLM4VLA: Revisiting Vision-Language-Models in Vision-Language-Action Models,"Vision-Language-Action (VLA) models, which integrate pretrained large Vision-Language Models (VLMs) into their policy backbone, are gaining significant attention for their promising generalization capabilities. This paper revisits a fundamental yet seldom systematically studied question: how the choice and specific capabilities of the underlying VLM affect the performance of VLA policies? We introduce \textbf{VLM4VLA}, a minimal adaptation pipeline that converts general-purpose VLMs into VLA policies using only a small set of new learnable parameters for fair and efficient comparison. Our pipeline, though simple, proves surprisingly competitive with more sophisticated network designs.
Through extensive empirical studies on various downstream tasks across three benchmarks, we find that a VLM's general capabilities are poor predictors of its downstream task performance, contrary to common assumptions. Inconsistencies across benchmarks suggest that VLA policies require capabilities beyond what current VLMs pursue.
We further investigate the impact of specific embodied capabilities by fine-tuning VLMs on seven auxiliary embodied tasks (e.g., embodied QA, visual pointing, depth estimation).
Contrary to intuition, improving a VLM's performance on specific embodied skills does not guarantee better downstream control performance.
Lastly, our analysis also reveals that the vision encoder is a critical bottleneck, and the ability to fine-tune it is crucial for strong performance. 
These results highlight a significant gap between current VLM pretraining paradigms and the specific demands of embodied tasks. We will release our code, models, and evaluation logs at \href{https://sites.google.com/view/vlm4vla}{our anonymous website} to encourage further research and help better understanding in this direction.",Poster,"applications to robotics, autonomy, planning","VLM, VLA, Empirical Study","6, 6, 8, 8","3, 3, 3, 3","3, 4, 4, 4","3, 4, 3, 3","3, 3, 3, 4",https://openreview.net/pdf?id=tc2UsBeODW,1.563277571955843,Robotics,high,"This paper investigates Vision-Language-Action (VLA) models, which are specifically designed for embodied AI and robotic control policies. The focus on embodied tasks and downstream control performance aligns directly with the Robotics category.",1.5087957028152545
https://openreview.net/forum?id=AcTsKglDdh,DataMIL: Selecting Data for Robot Imitation Learning with Datamodels,"Recently, the robotics community has amassed ever larger and more diverse datasets to train generalist policies. However, while these policies achieve strong mean performance across a variety of tasks, they often underperform on individual, specialized tasks and require further tuning on newly acquired task-specific data. Combining task-specific data with carefully curated subsets of large prior datasets via co-training can produce better specialized policies, but selecting data naively may actually harm downstream performance. To address this, we introduce DataMIL, a data selection framework built on the datamodels paradigm that reasons about data selection in an end-to-end manner, using the policy itself to identify which data points will most improve performance. Unlike standard practices that filter data using human notions of quality (e.g., based on semantic or visual similarity), DataMIL directly optimizes data selection for task success, allowing us to select data that improves the policy while dropping data that degrade it. To avoid performing expensive rollouts in the environment during selection, we introduce a surrogate loss function on task-specific data, allowing us to use DataMIL in the real world without degrading performance. We validate our approach on 60+ simulation and real-world manipulation tasks, notably showing successful data selection from the largest open collections of robot datasets (OXE); demonstrating consistent gains in success rates over prior works. Our results underscore the importance of end-to-end, performance-aware data selection for unlocking the potential of large prior datasets in robotics.",Poster,"applications to robotics, autonomy, planning","Robot Learning, Data Curation, Imitation Learning","6, 6, 8, 8","4, 3, 3, 4","4, 3, 3, 4","2, 3, 4, 4","3, 3, 4, 3",https://openreview.net/pdf?id=AcTsKglDdh,1.5357528025624119,Robotics,high,"The paper focuses on improving robot imitation learning policies through a novel data selection framework validated on manipulation tasks. Since the core application and evaluation are centered on physical robot performance and datasets, it fits the Robotics category.",1.4525650573218838
https://openreview.net/forum?id=yDmb7xAfeb,WoW!: World Models in a Closed-Loop World,"Generative world models (WMs) can now simulate worlds with striking visual realism, which naturally raises the question of whether they can endow embodied agents with predictive perception for decision making. Progress on this question has been limited by fragmented evaluation: most existing benchmarks adopt open-loop protocols that emphasize visual quality in isolation, leaving the core issue of embodied utility unresolved, i.e., *do WMs actually help agents succeed at embodied tasks?*
To address this gap, we introduce WoW!, the first open platform that benchmarks WMs in a closed-loop setting that mirrors real agent-environment interactions. WoW! provides a unified online planning strategy and a standardized action API, enabling heterogeneous WMs for decision making.
We curate four closed-loop environments that rigorously evaluate diverse WMs, prioritize task success as the primary metric, and move beyond the common focus on visual quality; we also present the first data scaling law for world models in embodied settings.
Our study uncovers three surprises: (1) visual quality alone does not guarantee task success—controllability matters more; (2) scaling post-training with action-observation data is more effective than upgrading the pretrained video generators; and (3) allocating more inference-time compute allows WMs to substantially improve closed-loop performance. By centering evaluation on closed-loop outcomes, WoW! establishes a new benchmark for the systematic assessment of WMs.",Oral,generative models,"world models, video generation, embodied AI, generative models","6, 6, 8, 8","3, 4, 3, 3","3, 3, 4, 4","3, 3, 3, 3","3, 3, 4, 3",https://openreview.net/pdf?id=yDmb7xAfeb,1.3382558592636575,Robotics,high,"The paper focuses on evaluating world models for embodied agents in closed-loop environments, aligning directly with the embodied AI definition within the Robotics category. The core contribution concerns embodied decision-making and action execution rather than general ML theory or inference algorithms.",1.3710427541150865
